,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-101920.0,1082.48,5336.76,14.826,-114580.0,-100234.0,-100216.0,27.2668,100.0,1.11261
alpha[1],0.986505,0.0178776,0.0542709,0.00865542,0.932667,0.98052,1.08187,21.0659,100.0,1.14662
alpha[2],0.927654,0.0249024,0.0826126,0.0075709,0.791408,0.930446,1.05072,25.8341,100.0,1.12615
alpha[3],0.986464,0.0236617,0.0728624,0.00802383,0.931498,0.986943,1.10432,18.0669,100.0,1.16941
alpha[4],0.994402,0.00985449,0.0322006,0.00831071,0.934291,0.997449,1.06042,27.3773,100.0,1.14414
alpha[5],0.918502,0.0132205,0.0397043,0.00884593,0.866423,0.915359,1.00041,19.3186,100.0,1.18184
alpha[6],0.868111,0.0397591,0.13097,0.00836186,0.84105,0.882726,0.986297,26.1005,100.0,1.17293
alpha[7],0.975615,0.0379658,0.134011,0.0089082,0.945642,1.00106,1.07192,24.7313,100.0,1.14778
alpha[8],1.02641,0.0110878,0.0343557,0.00908093,0.974222,1.02814,1.11013,20.3957,100.0,1.14073
alpha[9],0.833415,0.0110013,0.0331439,0.00898456,0.790107,0.834214,0.901228,18.0934,100.0,1.16165
alpha[10],0.808747,0.0129185,0.0562973,0.00777624,0.71808,0.815185,0.889489,25.3105,100.0,1.13367
alpha[11],0.966351,0.00936315,0.0553626,0.00752716,0.875052,0.978679,0.993768,60.6783,100.0,1.07782
alpha[12],0.918053,0.0113995,0.0362202,0.0112692,0.863921,0.921142,0.982275,18.2197,100.0,1.161
alpha[13],0.955943,0.00896739,0.0290639,0.0079156,0.898466,0.957167,1.01869,25.8118,100.0,1.11264
alpha[14],0.905489,0.0188671,0.0597493,0.00939449,0.84857,0.896336,1.01873,24.8594,100.0,1.10554
alpha[15],1.0144,0.0148802,0.0458429,0.00762056,0.958659,1.01884,1.09844,16.8227,100.0,1.18
alpha[16],0.918015,0.0196502,0.0605433,0.011293,0.857317,0.919147,1.03241,17.7214,100.0,1.17111
alpha[17],0.940688,0.0181561,0.0586238,0.00865171,0.905881,0.930352,1.05905,34.6053,100.0,1.09248
alpha[18],0.903087,0.0111608,0.0333241,0.00944416,0.853672,0.902699,0.983298,23.3079,100.0,1.13429
alpha[19],1.02245,0.0195042,0.0613311,0.00937003,0.954697,1.02154,1.13878,21.562,100.0,1.13006
alpha[20],0.954612,0.0182192,0.0687987,0.00821138,0.912645,0.967822,0.980734,47.152,100.0,1.10271
alpha[21],0.852623,0.0126577,0.0381609,0.009032,0.796426,0.852415,0.933332,22.2129,100.0,1.12687
alpha[22],0.829962,0.0353147,0.114704,0.00759758,0.7889,0.837928,0.947013,22.8893,100.0,1.1253
alpha[23],0.830685,0.00517573,0.0245576,0.00956499,0.788011,0.835657,0.853533,53.9286,100.0,1.09066
alpha[24],0.690773,0.0110714,0.0350009,0.0081669,0.662639,0.690104,0.750407,22.9672,100.0,1.12083
alpha[25],0.974199,0.0131434,0.0401336,0.00799863,0.927029,0.969661,1.05474,18.3013,100.0,1.16604
alpha[26],0.862398,0.0113476,0.0332454,0.00871917,0.820615,0.859263,0.933884,17.2907,100.0,1.17534
alpha[27],0.887478,0.00966767,0.0321036,0.00968805,0.849994,0.887695,0.955123,21.0514,100.0,1.14049
alpha[28],0.795957,0.0134715,0.0404718,0.00810982,0.74985,0.792986,0.872136,18.0743,100.0,1.16879
alpha[29],0.889772,0.0155517,0.0587082,0.00870064,0.797811,0.891782,0.97039,22.9298,100.0,1.13326
alpha[30],0.915835,0.00812777,0.0247498,0.00961985,0.862077,0.91717,0.967619,22.2128,100.0,1.13011
alpha[31],0.918521,0.00952914,0.0288643,0.00807053,0.869441,0.918582,0.982795,23.401,100.0,1.12317
alpha[32],0.878159,0.00963178,0.0289188,0.00921436,0.828851,0.878577,0.9472,22.1725,100.0,1.20687
alpha[33],0.904228,0.0115249,0.034837,0.00670283,0.862387,0.902681,0.973252,21.3486,100.0,1.12937
alpha[34],0.761986,0.0069138,0.021667,0.00854719,0.733066,0.760433,0.813506,19.2374,100.0,1.15687
alpha[35],0.683488,0.0064389,0.0206696,0.00711203,0.648511,0.684725,0.723329,27.895,100.0,1.11
alpha[36],0.566511,0.00544591,0.0183139,0.00815282,0.53779,0.565939,0.611228,20.7431,100.0,1.15243
alpha[37],0.527992,0.00548538,0.0182703,0.00672359,0.497112,0.53005,0.553199,23.0544,100.0,1.12943
alpha[38],0.752335,0.00593566,0.0193347,0.00958872,0.726649,0.750776,0.801012,28.6102,100.0,1.13996
alpha[39],0.601607,0.00989278,0.0308569,0.00781404,0.567163,0.59902,0.648898,21.8696,100.0,1.12885
alpha[40],0.727512,0.0137833,0.0473649,0.00865542,0.690752,0.732874,0.790965,25.56,100.0,1.12409
alpha[41],0.665338,0.0163694,0.0512934,0.00864356,0.628241,0.659102,0.745237,21.3591,100.0,1.13591
alpha[42],0.646365,0.00888738,0.0296213,0.00859018,0.612021,0.648907,0.69686,26.3941,100.0,1.11531
alpha[43],0.729514,0.00914984,0.0279891,0.00790448,0.687841,0.726868,0.791676,20.9483,100.0,1.13402
alpha[44],0.625534,0.0110997,0.0350303,0.00900531,0.590031,0.62368,0.687959,24.8536,100.0,1.11161
alpha[45],0.869871,0.0113656,0.0352493,0.00922325,0.825366,0.867984,0.946621,22.424,100.0,1.1301
alpha[46],0.861596,0.0309225,0.100241,0.00929961,0.824273,0.866893,0.975414,19.7363,100.0,1.14709
alpha[47],0.858136,0.0281377,0.0915222,0.00723954,0.817025,0.863945,0.958894,21.5179,100.0,1.13879
alpha[48],0.79526,0.00950666,0.0287909,0.00817654,0.750886,0.79627,0.858253,22.538,100.0,1.13147
alpha[49],0.686965,0.0144808,0.0450948,0.00687852,0.649773,0.681188,0.766625,21.4078,100.0,1.14106
alpha[50],0.656487,0.00736195,0.0363191,0.00959168,0.582894,0.665307,0.680384,52.2663,100.0,1.12532
alpha[51],0.63977,0.00618741,0.0326844,0.00963912,0.561125,0.647533,0.663828,58.8287,100.0,1.03227
alpha[52],0.8182,0.0064334,0.0335349,0.0100935,0.722013,0.8276,0.842054,51.6676,100.0,1.07201
alpha[53],0.888258,0.0109119,0.0323195,0.0105405,0.842071,0.885477,0.968338,20.7762,100.0,1.14696
alpha[54],0.882295,0.0131456,0.0393065,0.0082907,0.81711,0.879878,0.971759,21.3997,100.0,1.1443
alpha[55],0.780422,0.0202687,0.064747,0.00966878,0.726741,0.771624,0.907317,25.9432,100.0,1.1336
alpha[56],0.838467,0.0179796,0.0526657,0.0106028,0.778748,0.833451,0.958168,18.9923,100.0,1.15287
alpha[57],0.82806,0.0128307,0.0390388,0.00935669,0.777826,0.828879,0.914673,19.0936,100.0,1.15602
alpha[58],0.776888,0.019258,0.058965,0.00794525,0.736366,0.768675,0.889125,20.266,100.0,1.13742
alpha[59],0.812907,0.0292007,0.0887849,0.00976514,0.754221,0.810514,0.962416,21.5288,100.0,1.13295
alpha[60],0.703995,0.0077213,0.025407,0.00742931,0.666343,0.701264,0.770481,26.3841,100.0,1.11032
alpha[61],0.653678,0.00567622,0.0285914,0.00931369,0.586799,0.660403,0.674388,61.6215,100.0,1.15692
alpha[62],0.671164,0.00719209,0.0239558,0.00888596,0.640926,0.669528,0.722462,24.7309,100.0,1.11289
alpha[63],0.806624,0.0110071,0.0343311,0.00736778,0.758658,0.80374,0.861689,22.4457,100.0,1.19181
alpha[64],0.834711,0.00908318,0.0282792,0.00784888,0.796318,0.835495,0.899763,26.3864,100.0,1.10471
alpha[65],0.798377,0.00773796,0.0234872,0.00609793,0.758689,0.799133,0.848413,27.2528,100.0,1.10306
alpha[66],0.915374,0.0100445,0.0311647,0.00772138,0.871753,0.915375,0.981033,24.4725,100.0,1.12903
alpha[67],1.02177,0.00617607,0.0306179,0.0097481,0.939692,1.03059,1.04509,52.6212,100.0,1.17505
alpha[68],0.922193,0.00983376,0.0292264,0.00865542,0.875893,0.920994,0.993552,21.9966,100.0,1.13185
alpha[69],0.979076,0.0188723,0.0576636,0.00868285,0.91179,0.972411,1.08106,21.4508,100.0,1.13017
alpha[70],0.89892,0.0166976,0.0522307,0.00737297,0.859253,0.891798,0.988169,17.7066,100.0,1.16835
alpha[71],0.73941,0.0122538,0.0385735,0.00835371,0.702685,0.741417,0.790413,20.9031,100.0,1.13682
alpha[72],0.67996,0.00613757,0.0192035,0.00890079,0.650218,0.678954,0.730595,22.8702,100.0,1.12887
alpha[73],0.673095,0.0112475,0.0366856,0.00765837,0.648971,0.676781,0.730699,24.4122,100.0,1.1216
alpha[74],0.695085,0.0178464,0.0557483,0.0100461,0.655841,0.689544,0.778572,23.044,100.0,1.11886
alpha[75],0.6752,0.00540118,0.0184622,0.00783999,0.633904,0.675638,0.707684,20.971,100.0,1.13378
alpha[76],0.831514,0.0103841,0.0305707,0.0088489,0.782963,0.830597,0.910627,18.4435,100.0,1.16483
alpha[77],0.696404,0.00381589,0.0215243,0.00947159,0.646226,0.700851,0.716191,58.1629,100.0,1.04274
alpha[78],0.796232,0.0102596,0.0329271,0.00719432,0.748673,0.79461,0.858333,22.0993,100.0,1.1305
alpha[79],0.931806,0.00639562,0.0360167,0.00793488,0.841377,0.940424,0.957594,56.8132,100.0,1.06845
alpha[80],0.720672,0.0102713,0.0300867,0.00570504,0.677144,0.71931,0.783704,20.8954,100.0,1.13827
alpha[81],0.726282,0.00356376,0.0172432,0.0073789,0.690155,0.729218,0.743692,37.7484,100.0,1.07476
alpha[82],0.768054,0.00857364,0.0268314,0.00831887,0.731162,0.768535,0.827298,24.2468,100.0,1.12146
alpha[83],0.716975,0.0127809,0.039632,0.00820471,0.677744,0.711043,0.786546,19.079,100.0,1.15366
alpha[84],0.85821,0.016321,0.0519184,0.00827884,0.796691,0.852712,0.939257,24.064,100.0,1.11459
alpha[85],0.818608,0.00824809,0.023778,0.00871917,0.775333,0.818011,0.880111,17.9991,100.0,1.16654
alpha[86],0.726591,0.00859347,0.0323211,0.00840412,0.688302,0.727655,0.790372,25.6989,100.0,1.10748
alpha[87],0.871675,0.0104164,0.0335467,0.00928033,0.828076,0.874529,0.934027,25.3953,100.0,1.18016
alpha[88],0.744894,0.00848964,0.0251765,0.00732108,0.707417,0.745779,0.797167,20.0069,100.0,1.14482
alpha[89],0.902347,0.0184777,0.0551346,0.00844637,0.835364,0.897179,1.00502,20.5913,100.0,1.13837
alpha[90],0.774912,0.00851804,0.0257718,0.00805348,0.741095,0.773092,0.838224,22.7499,100.0,1.1227
alpha[91],0.696411,0.00838671,0.0252911,0.00803421,0.658227,0.697117,0.745155,17.6092,100.0,1.17491
alpha[92],0.882907,0.0176876,0.0546497,0.00820471,0.825169,0.877144,0.964396,21.6755,100.0,1.13169
alpha[93],0.807348,0.0084882,0.0264159,0.0106317,0.764886,0.809678,0.858574,20.2394,100.0,1.14983
alpha[94],0.74051,0.00996809,0.0375219,0.00986596,0.713118,0.733363,0.817223,43.3248,100.0,1.06528
alpha[95],0.675615,0.00282959,0.0170452,0.0086317,0.633584,0.67902,0.692774,60.7841,100.0,1.1837
alpha[96],0.574614,0.00792517,0.0248719,0.00995344,0.540457,0.574758,0.624685,18.6069,100.0,1.15537
alpha[97],0.603665,0.00539771,0.0185094,0.00721285,0.573309,0.60532,0.621788,26.1092,100.0,1.11503
alpha[98],0.540731,0.0180258,0.0603691,0.00703568,0.519473,0.548188,0.595281,20.4532,100.0,1.14586
alpha[99],0.630785,0.00565164,0.0195205,0.00736926,0.602125,0.63037,0.683082,24.3749,100.0,1.13712
alpha[100],0.604997,0.00851092,0.0270031,0.00829663,0.581556,0.603606,0.649429,22.3352,100.0,1.13573
beta[1],0.17538,0.00154085,0.0045234,0.00102596,0.16985,0.175459,0.184222,19.7958,100.0,1.14531
beta[2],0.00687782,0.000277032,0.00123529,0.000902614,0.00477073,0.00690822,0.00889138,25.3184,100.0,1.1126
beta[3],0.258869,0.00220754,0.00655292,0.0020964,0.246822,0.259029,0.267901,17.5164,100.0,1.17936
beta[4],-0.0175968,0.000302522,0.00146704,0.00119861,-0.0198432,-0.0177149,-0.0152026,32.1628,100.0,1.08129
beta[5],0.195791,0.000248366,0.00325178,0.00275689,0.19063,0.195833,0.201005,178.069,100.0,1.03641
beta[6],-0.947991,0.00241674,0.00702182,0.00175243,-0.96077,-0.948177,-0.937437,15.7859,100.0,1.19443
